 Valid,Timestamp,"Please create an identification code that consists of 1. first 2 letters of your father and first 2 letters of your mother and 2. numbers of birth date: Example - father John - Jo, mother Jasmin - Ja, birth date 1990 - 90.  User ID: Joja90",1.1 Which country are you from?,1.2 Please choose your gender,2. How old are you?,3. How long have you lived in your home country?(years),Age,B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Religion (I. e critisize religion)],B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Relationships between men and a women(I.e unmarried couple)],"B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Food habits (I. e  eating cows, drinking alchohol and so on)]","B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Physical contact with the opposide gender(I. e touching other gender,)]",B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Avoid some kind of humour],"B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Avoid negative comments or criticisms about a personâ€™s ability, appearance or attributes]",B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [embarrass a person in public],B4. Indian culture - Can you estimate the importance of taboos in the Indian culture ? Please rate the value of each row [Not to ask too many personal questions ],"B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you are angry, upset or annoyed (I. e turn your back to someone, grab your hair )]","B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you thank people (I. e Hug a person with both hands,  hold the hand of someone with","B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you disagree with someone (I. e turn the thumb down, hold your fist in front of som","B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing you agree with someone (I. e nod with your head, smile to someone )]","B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Showing your surprise (I. e move your eyebrows upwards, open your mouth widely)]",B5. Indian culture - How likely is it for a person from Indian culture to use gestures(body language) to describe the fol2ing? Please rate the value of each row [Express themselves with the head movement],"6. Please rate the fol2ing questions according to your opion  [Have you stayed for a long duration outside your home country (5= long, 1= short)]",6. Please rate the fol2ing questions according to your opion  [Do you see yourself working and communicating well in an international working environment? ],6. Please rate the fol2ing questions according to your opion  [Do you think it is important to learn the cultural background of co-workers to achieve better communication ],6. Please rate the fol2ing questions according to your opion  [Learning the intentions of a direct/indirect communication based on the culture background helps in an international team work],6. Please rate the fol2ing questions according to your opion  [Cultural background influence the teamwork],"6. Please rate the fol2ing questions according to your opion  [how do you think the communication in the Indian culture?(Direct = 5, Indirect= verly 2)]","6. Please rate the fol2ing questions according to your opion  [Do you that support the statement that cultural taboos/body lanugage lead to different message interpretation? (5= strongly, 1= not really) ]","6. Please rate the following questions according to your opion  [Do you think that the environment influences our behaviour in terms of body language/taboos(Work, university, leisure time) ]",7. How would you approach an international student with a language barrier?,You now completed 2/5 pages. Please continue to the next questions in the fol2ing page and press the link for next questions
1,7/13/2018 15:46:58,Kako88,Srilanka,Male,27-30,6,30,3,3,3,4,3,3,2,3,3,2,2,4,3,4,5,5,5,5,5,3,3,4,The international student will have to confront with the issue himself,Agree
1,7/15/2018 15:37:54,Krka91,India,Female,23-26,24,25,4,4,4,3,3,3,3,3,2,4,4,4,3,3,4,5,5,4,3,4,3,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/16/2018 10:07:58,Frja85,Tunesia,Male,over 30,20,32,2,3,2,4,3,4,3,1,4,3,5,4,4,5,4,4,3,5,4,4,5,5,I will try to support him and to make efforts to understand his intentions,Agree
1,7/16/2018 10:48:10,Kape90,China,Male,27-30,23,28,4,5,3,4,3,4,4,4,3,4,3,4,3,4,4,4,4,4,3,4,4,4,It all depends on how I feel about the person,Agree
0,7/16/2018 12:20:30,MoMo85,Germany,Male,over 30,32,32,4,2,3,2,3,5,5,5,4,5,5,5,5,5,5,5,4,4,4,2,5,5,It all depends on how I feel about the person,Agree
1,7/16/2018 13:54:59,Cama80,Brasil,Male,over 30,4,38,5,5,5,4,4,5,4,5,4,4,3,3,3,3,4,5,4,4,3,3,3,3,It all depends on how I feel about the person,Agree
1,7/16/2018 16:41:45,jodo92,Germany,Male,23-26,25,26,4,4,3,3,3,4,4,4,3,3,2,5,5,5,3,5,5,5,4,2,4,4,It all depends on how I feel about the person,Agree
1,7/16/2018 17:16:51,RAVA91,India,Male,27-30,23,27,3,4,2,3,1,2,1,1,2,5,3,4,4,1,3,5,4,3,3,3,1,2,I will try to support him and to make efforts to understand his intentions,Agree
1,7/16/2018 20:52:51,Huvi95,Germany,Male,23-26,23,23,4,4,4,4,3,3,4,4,4,5,4,5,5,4,2,4,4,5,4,3,4,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/17/2018 10:19:15,Mana87,Russia,Female,27-30,15,31,2,5,4,4,2,3,4,2,4,5,2,4,4,5,4,4,5,4,4,3,5,5,I will try to support him and to make efforts to understand his intentions,Agree
1,7/17/2018 11:03:15,VaTse80,Bulgaria,Male,over 30,29,38,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,5,4,4,4,3,4,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/17/2018 15:15:20,Shme91,India,Male,27-30,25,27,4,3,3,2,3,4,5,3,1,4,2,5,5,4,3,4,4,3,4,4,2,5,I will try to support him and to make efforts to understand his intentions,Agree
1,7/17/2018 16:38:43,Joev94,Germany ,Male,23-26,22,24,4,5,5,5,3,2,2,1,3,4,4,5,4,5,4,4,5,4,5,4,4,4,It all depends on how I feel about the person,Agree
1,7/18/2018 11:55:36,gxze21,Greece,Male,27-30,13,28,2,4,4,5,2,2,4,1,3,4,2,3,4,5,4,4,3,3,4,4,2,5,I will try to support him and to make efforts to understand his intentions,Agree
0,7/18/2018 14:47:52,Iaia96,Bulgaria,Female,18-22,3,22,3,5,3,3,3,2,2,1,2,3,2,4,2,2,5,4,4,3,4,3,4,5,It all depends on how I feel about the person,Agree
1,7/19/2018 16:44:25,abfa87,syria,Male,over 30,26,31,5,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,5,5,It all depends on how I feel about the person,Agree
1,7/20/2018 0:39:09,Nere87,Germany,Male,27-30,30,31,4,4,4,4,3,2,1,1,1,1,1,2,3,3,2,5,2,2,1,2,5,5,It all depends on how I feel about the person,Agree
1,7/20/2018 16:04:32,boka87,India,Male,over 30,27,31,4,4,4,3,3,3,2,2,2,3,4,4,3,4,2,4,4,4,4,3,4,4,It all depends on how I feel about the person,Agree
1,7/20/2018 22:41:08,Azsh91,Pakistan ,Male,27-30,20,27,5,4,5,4,3,3,4,4,3,2,3,5,5,5,3,4,3,4,4,2,4,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/20/2018 23:12:57,Sa89,India,Male,27-30,24,29,4,5,4,5,4,4,4,4,5,5,3,4,4,5,3,4,4,4,4,4,4,4,It all depends on how I feel about the person,Agree
1,7/21/2018 1:20:51,Joma92,Ecuador,Male,23-26,19,26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,It all depends on how I feel about the person,Agree
1,7/21/2018 12:05:52,osai83,Curacao,Male,over 30,19,35,5,5,5,5,3,3,5,3,3,3,3,5,5,5,5,4,5,5,5,5,5,5,It all depends on how I feel about the person,Agree
1,7/21/2018 22:02:23,Peme90,Germany,Male,over 30,35,28,4,5,5,5,4,4,2,4,2,4,1,5,4,5,2,4,4,4,5,3,4,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/22/2018 1:52:23,Peag91,Denemark,Male,27-30,19,27,2,2,2,4,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,1,5,5,It all depends on how I feel about the person,Agree
0,7/22/2018 1:53:40,MoMa90,INDIA,Male,27-30,25,28,4,3,3,4,2,3,3,1,4,4,4,4,4,4,3,3,4,4,3,2,3,4,It all depends on how I feel about the person,Agree
1,7/22/2018 10:17:46,Nava87,India,Male,over 30,26,31,3,4,2,4,3,1,2,2,3,4,3,4,4,5,3,4,3,4,4,2,3,3,It all depends on how I feel about the person,Agree
1,7/22/2018 10:53:28,Deas92,India,Female,23-26,6,26,5,5,4,5,4,5,5,5,5,5,5,5,5,5,3,5,2,3,3,5,5,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/22/2018 11:00:06,Rana91,India,Male,27-30,24,27,4,4,5,4,3,3,3,3,3,4,3,5,5,5,4,4,4,4,4,3,4,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/22/2018 11:01:13,Deas92,India,Female,23-26,6,26,5,5,4,5,4,4,5,5,5,5,5,5,5,5,3,4,2,2,2,2,2,2,I will try to support him and to make efforts to understand his intentions,Agree
1,7/22/2018 11:15:22,ARFA90,Afghanistan,Male,27-30,8,28,5,5,3,3,2,4,5,4,5,5,5,5,5,5,5,5,5,5,5,3,4,4,It all depends on how I feel about the person,Agree
1,7/22/2018 15:24:27,assu92,india,Male,23-26,22,26,3,4,4,4,2,2,2,2,5,4,3,5,5,5,4,4,5,5,5,3,5,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/22/2018 18:39:39,MoMi85,Germany,Male,over 30,32,33,5,5,3,4,3,5,3,5,5,5,4,4,4,5,4,5,3,3,4,4,5,5,The international student will have to confront with the issue himself,Agree
1,7/22/2018 21:54:00,Jaju81,Netherlands,Male,over 30,8,37,1,2,2,2,1,2,1,1,2,2,4,5,5,5,5,5,5,5,5,2,5,5,I will try to support him and to make efforts to understand his intentions,Agree
0,7/22/2018 22:35:05,Jaju81,Netherlands,Male,over 30,8,37,1,1,2,2,2,2,2,2,2,2,1,5,4,5,5,5,5,5,4,2,4,5,I will try to support him and to make efforts to understand his intentions,Agree
1,7/23/2018 11:26:41,MASO98,Iran,Male,over 30,27,20,3,3,4,3,5,5,5,4,5,5,4,5,5,5,4,4,4,5,5,1,5,4,The international student will have to confront with the issue himself,Agree
0,7/23/2018 14:19:29,Frka92,Germany,Female,23-26,24,26,3,4,3,4,3,3,4,3,3,3,2,4,3,4,5,3,5,5,3,3,4,5,I will try to support him and to make efforts to understand his intentions,Agree
1,7/23/2018 15:26:20,ShLi94,Germany,Male,23-26,24,24,5,5,5,3,2,4,4,1,2,1,2,4,4,3,3,4,4,4,4,1,5,5,The international student will have to confront with the issue himself,Agree
1,7/23/2018 18:26:21,Alva95,Ukraine,Male,18-22,6,23,5,3,5,3,4,5,5,4,3,5,5,5,5,5,5,4,5,5,5,2,5,5,I will try to support him and to make efforts to understand his intentions,Agree
1,7/24/2018 14:21:55,SHLI90,Israel,Male,23-26,25,28,5,5,5,3,1,1,4,2,3,5,3,5,2,3,1,5,4,4,2,2,3,4,It all depends on how I feel about the person,Agree
0,7/25/2018 10:27:22,Leta77,Israel,Male,over 30,12,41,4,4,1,3,3,4,3,1,3,4,3,3,1,2,5,5,4,4,4,5,3,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/25/2018 15:14:24,moru93,Germany,Female,23-26,24,25,4,5,4,5,3,3,3,4,4,2,3,5,4,5,1,5,4,5,5,2,4,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/25/2018 17:48:32,Alno81,Tunesia,Male,over 30,16,27,3,3,3,3,1,1,3,2,4,4,4,4,4,5,5,5,5,5,4,3,3,3,I will try to support him and to make efforts to understand his intentions,Agree
1,7/26/2018 8:41:24,mona84,Iran,Male,over 30,28,34,4,5,5,4,4,4,3,2,4,4,4,5,4,5,4,4,5,4,5,4,5,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/26/2018 10:30:39,Faru85,Ecuador,Male,over 30,30,33,5,5,4,5,1,4,4,4,4,5,3,4,2,5,4,5,4,4,5,3,3,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/27/2018 13:39:36,vivi91,India,Male,23-26,24,27,4,3,3,3,3,3,3,2,3,3,2,4,4,4,3,4,3,3,2,3,3,3,I will try to support him and to make efforts to understand his intentions,Agree
1,7/27/2018 15:05:28,Peag91,Denemark,Male,27-30,19,27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,It all depends on how I feel about the person,Agree
1,7/28/2018 9:41:22,IKNA81,Greece,Male,over 30,18,37,4,5,4,5,2,3,3,3,4,5,4,4,5,5,5,5,5,5,3,4,3,3,I will try to support him and to make efforts to understand his intentions,Agree
1,7/29/2018 12:32:26,Gech89,Greece,Male,27-30,19,29,3,3,3,4,3,3,4,3,4,4,3,3,4,4,5,4,4,5,4,4,4,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/29/2018 19:43:22,goka91,India,Male,27-30,23,27,2,3,4,4,3,2,2,3,3,2,2,3,3,3,4,5,4,4,4,3,3,3,It all depends on how I feel about the person,Agree
1,7/29/2018 20:56:00,Armand,Kamerun,Male,27-30,26,29,3,1,1,2,5,5,4,4,1,2,4,1,2,2,1,5,3,3,4,1,2,3,It all depends on how I feel about the person,Agree
1,7/29/2018 21:22:34,soal88,Greece ,Male,27-30,3,30,3,5,5,3,4,2,2,3,4,5,3,3,4,3,5,3,4,5,4,2,3,4,It all depends on how I feel about the person,Agree
1,7/29/2018 22:47:05,Rapa85,India,Male,over 30,26,33,3,5,1,2,3,3,4,2,2,4,4,5,5,5,3,3,5,5,5,4,5,5,I will try to support him and to make efforts to understand his intentions,Agree
1,7/30/2018 9:50:36,Upki09,India,Female,27-30,26,28,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,I will try to support him and to make efforts to understand his intentions,Agree
1,7/30/2018 16:15:37,cale90,India,Male,27-30,24,28,4,4,3,4,4,5,5,3,4,4,4,4,4,5,2,4,5,5,3,2,5,3,I will try to support him and to make efforts to understand his intentions,Agree
1,8/1/2018 18:51:36,Moka90,Germany,Male,27-30,27,28,5,5,3,4,2,2,5,2,2,5,2,5,5,5,2,5,4,5,4,2,5,4,I will try to support him and to make efforts to understand his intentions,Agree
1,8/2/2018 20:42:10,Roaf87,Tunesia,Male,over 30,20,31,5,5,5,5,3,3,5,1,5,4,4,3,4,4,5,3,5,5,5,3,3,2,I will try to support him and to make efforts to understand his intentions,Agree
1,8/3/2018 2:10:14,Alma93,Brazil,Male,23-26,21,25,5,3,5,3,2,4,4,2,1,5,2,5,5,4,3,4,5,4,4,4,5,4,I will try to support him and to make efforts to understand his intentions,Agree
1,8/3/2018 19:16:11,Jiho92,China,Female,23-26,22,26,4,4,4,3,2,2,2,2,3,3,2,4,5,3,3,3,5,4,4,3,4,4,It all depends on how I feel about the person,Agree
1,8/3/2018 20:52:44,Anma89,Albania,Male,27-30,18,29,3,3,3,4,3,4,3,3,3,3,4,2,3,2,5,5,5,4,5,4,5,4,I will try to support him and to make efforts to understand his intentions,Agree
1,8/4/2018 14:55:35,Hagu87,India,Male,27-30,27,31,1,4,4,2,3,2,2,1,3,3,1,4,3,4,3,1,3,3,4,3,4,3,I will try to support him and to make efforts to understand his intentions,Agree
1,8/4/2018 20:28:53,Nufa92,Bangladesh,Male,23-26,12,26,5,4,3,4,3,2,3,3,4,4,4,4,4,4,5,4,4,4,4,3,3,4,I will try to support him and to make efforts to understand his intentions,Agree
1,8/5/2018 23:09:41,vihe85,India,Male,over 30,25,33,4,3,4,4,2,3,4,1,4,4,4,5,5,3,5,5,5,5,5,1,3,4,It all depends on how I feel about the person,Agree
1,8/6/2018 15:44:26,KkLa90,India ,Female,27-30,24,28,4,3,4,3,2,3,3,2,3,4,3,4,4,4,5,4,5,4,3,3,3,5,It all depends on how I feel about the person,Agree
1,8/7/2018 10:12:28,Mica85,Germany,Female,over 30,27,33,5,5,4,4,3,3,4,3,2,4,2,3,2,4,5,3,5,5,5,3,4,4,I will try to support him and to make efforts to understand his intentions,Agree
1,8/7/2018 15:50:17,Anbh91,India,Female,23-26,26,26,2,4,3,3,2,2,2,4,1,3,2,3,2,3,1,4,4,4,4,2,2,4,I will try to support him and to make efforts to understand his intentions,Agree
1,8/7/2018 20:03:11,erma86,Germany,Male,over 30,32,32,3,5,4,4,2,4,4,1,4,4,4,4,4,4,3,4,5,5,5,2,3,2,It all depends on how I feel about the person,Agree
1,8.14.2018 12:49:25,Arpr92,India,Female,23-26,23,25,2,1,1,4,5,2,3,3,4,4,5,5,5,4,4,5,5,4,3,4,4,4,I will try to support him and to make efforts to understand his intentions,Agree
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20.83606557,#NAME?,67,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male VS. Female,,35,importance of taboos : majority : 4 to 5,,,,,,,,,,,,,,,,,,,,,,,,
,,Srilanke,1,54,24,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,Germany,12,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,India,19,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bangladesh,1,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tunesia,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Brazil ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,China,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ecuador,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Russia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bulgaria,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greece,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Syria,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pakistan ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Curacao,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Denemark,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pakistan ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Albania,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ukraine,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Netherlands,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Afghanistan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kamerun,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iran,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sum,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,